@relation XE

@attribute X numeric
@attribute E numeric
@attribute label {1,-1}

@data
0.008397319091969911, 0.1264516129032258, 1
0.9988619005201297, 0.9366459627329193, 1
0.869582124758025, 0.5254824344383968, 1
0.9955581874693614, 0.913234706117553, 1
0.9839960874075928, 0.8684834123222749, 1
0.9977204126853789, 0.9712833545108005, 1
0.9998130335541376, 0.9601713062098501, 1
0.999569838108667, 0.9739198131568704, 1
0.9935873590349982, 0.9148580968280468, 1
0.9983169302495998, 0.9394829612220917, 1
0.9978899713533794, 0.9565045472518782, 1
0.9964853177280857, 0.9316535433070866, 1
0.008898753280252848, 0.1301028874875539, -1
0.004162607210490759, 0.09433962264150943, -1
0.054459404622420556, 0.2342857142857143, -1
0.010257541911845306, 0.09475740801042006, -1
0.019472051756443082, 0.4302941176470588, -1
0.00833369503655611, 0.1339563862928349, -1
0.003851453385639093, 0.1793513166345536, -1
0.025052638167165853, 0.3506594259115593, -1
0.09926062254508564, 0.3143405889884763, -1
0.003702630146022627, 0.1068276823037622, -1
0.3246772993447669, 0.1333333333333333, -1
2.0557758862524135E-6, 0.7867791842475387, 1
0.9941728319659631, 0.9908256880733946, 1
0.9997901119817595, 0.8533138401559454, 1
0.9997229104385273, 0.9964539007092199, 1
0.7858992698017527, 0.7791807822605482, 1
0.0020648436872451868, 0.844731977818854, 1
0.9070856805346869, 0.6040030402837598, 1
0.9956371980019705, 0.7736842105263158, 1
0.997264225216749, 0.9551856594110115, 1
0.9823702890169533, 0.8728448275862069, 1
0.8324715174437133, 0.8873812754409769, 1
6.911789123492189E-5, 0.5108889682256337, -1
0.0033045809650894546, 0.3820638820638821, -1
4.148346263634699E-5, 0.3496751329001772, -1
0.0029770873644191236, 0.3499638467100506, -1
5.199505820649769E-5, 0.5292177191328935, -1
0.004683391872570841, 0.556970082749841, -1
3.605073642182374E-4, 0.1829743057357903, -1
5.917565387790768E-4, 0.4787610619469027, -1
3.5590518059349545E-4, 0.4662875710804224, -1
0.0020227845140217554, 0.1709331131296449, -1
5.193731307605214E-4, 0.4305977710233029, -1
